id,group,variable,type,value,unit,location,metadata,time,created_at
652d1d6ecea89e0009d21b13,1697455470313,device_id,string,eui-50f8a500000103e3,,,,2023-10-16 11:24:30.352,2023-10-16 11:24:30.352
652d1d6ecea89e0009d21b14,1697455470313,application_id,string,iot-csf-ifsc,,,,2023-10-16 11:24:30.353,2023-10-16 11:24:30.353
652d1d6ecea89e0009d21b15,1697455470313,fport,number,1,,,,2023-10-16 11:24:30.353,2023-10-16 11:24:30.353
652d1d6ecea89e0009d21b16,1697455470313,fcnt,number,159,,,,2023-10-16 11:24:30.353,2023-10-16 11:24:30.353
652d1d6ecea89e0009d21b17,1697455470313,gateway_eui,string,0000F8033201A727,,,,2023-10-16 11:24:30.353,2023-10-16 11:24:30.353
652d1d6ecea89e0009d21b18,1697455470313,rssi,number,-93,,,,2023-10-16 11:24:30.354,2023-10-16 11:24:30.354
652d1d6ecea89e0009d21b19,1697455470313,snr,number,10,,,,2023-10-16 11:24:30.354,2023-10-16 11:24:30.354
652d1d6ecea89e0009d21b1a,1697455470313,gateway_location,string,"-27.608081294592182,-48.633736499977516",,"{""type"": ""Point"", ""coordinates"": [-48.633736499977516, -27.608081294592182]}",,2023-10-16 11:24:30.354,2023-10-16 11:24:30.354
652d1d6ecea89e0009d21b1b,1697455470313,frm_payload,string,7b224c756d696e6f736964616465223a33322c2254656d7065726174757261223a32342e32303030303037362c22556d6964616465223a38357d,,,,2023-10-16 11:24:30.355,2023-10-16 11:24:30.355
652d1d8dd2a63a0009c4f214,1697455501479,text,string,"{""Luminosidade"":36,""Temperatura"":24.20000076,""Umidade"":85}",,,,2023-10-16 11:25:01.515,2023-10-16 11:25:01.515
652d1d8dd2a63a0009c4f215,1697455501479,lora_bandwidth,number,125000,,,,2023-10-16 11:25:01.515,2023-10-16 11:25:01.515
652d1d8dd2a63a0009c4f216,1697455501479,lora_spreading_factor,number,7,,,,2023-10-16 11:25:01.515,2023-10-16 11:25:01.515
652d1d8dd2a63a0009c4f217,1697455501479,lora_coding_rate,string,4/5,,,,2023-10-16 11:25:01.516,2023-10-16 11:25:01.516
652d1d8dd2a63a0009c4f218,1697455501479,frequency,string,917200000,,,,2023-10-16 11:25:01.516,2023-10-16 11:25:01.516
652d1d8dd2a63a0009c4f219,1697455501479,timestamp,number,4182814827,,,,2023-10-16 11:25:01.516,2023-10-16 11:25:01.516
652d1d8dd2a63a0009c4f21a,1697455501479,device_id,string,eui-50f8a500000103e3,,,,2023-10-16 11:25:01.517,2023-10-16 11:25:01.517
652d1d8dd2a63a0009c4f21b,1697455501479,application_id,string,iot-csf-ifsc,,,,2023-10-16 11:25:01.517,2023-10-16 11:25:01.517
652d1d8dd2a63a0009c4f21c,1697455501479,fport,number,1,,,,2023-10-16 11:25:01.517,2023-10-16 11:25:01.517
652d1d8dd2a63a0009c4f21d,1697455501479,fcnt,number,160,,,,2023-10-16 11:25:01.517,2023-10-16 11:25:01.518
